                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8053,                 7.1175,                 4.4054,                      0,                      0,                      0,                      0,                 4.9819,                 6.2024,                 4.1611,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 4.8583,                 6.5282,                 4.5353,                      0,                      0,                      0,                      0,                 4.9838,                 6.2206,                  4.164,             0.00013966,             0.00013966,             0.00013966
                      3,                 4.5848,                 6.0551,                 4.2866,                      0,                      0,                      0,                      0,                 4.9897,                 6.2554,                  4.169,             0.00020753,             0.00020753,             0.00020753
                      4,                 4.3445,                 5.5696,                 4.2337,                      0,                      0,                      0,                      0,                 4.9983,                 6.2902,                 4.1755,             0.00027027,             0.00027027,             0.00027027
                      5,                 4.0418,                 5.0549,                 4.0576,                      0,                      0,                      0,                      0,                 5.0165,                 6.3391,                 4.1878,             0.00032788,             0.00032788,             0.00032788
                      6,                 4.0843,                 4.7445,                 3.9139,                      0,                      0,                      0,                      0,                 5.0346,                 6.3557,                 4.2049,             0.00038035,             0.00038035,             0.00038035
                      7,                 4.0692,                 4.7814,                 3.7358,                      0,                      0,                      0,                      0,                 5.0667,                 6.3692,                 4.2387,             0.00042769,             0.00042769,             0.00042769
                      8,                 3.7762,                 4.3253,                 3.5545,                      0,                      0,                      0,                      0,                 5.0832,                  6.358,                 4.2599,              0.0004699,              0.0004699,              0.0004699
                      9,                 3.9943,                 4.1875,                 3.4408,                      0,                      0,                      0,                      0,                 5.1124,                 6.3443,                 4.2962,             0.00050697,             0.00050697,             0.00050697
                     10,                 3.8927,                 4.0766,                 3.3383,                      0,                      0,                      0,                      0,                 5.1337,                  6.226,                 4.3149,             0.00053891,             0.00053891,             0.00053891
                     11,                  3.648,                 3.5212,                 3.1321,                      0,                      0,                      0,                      0,                 5.1441,                 6.1294,                 4.3367,             0.00056572,             0.00056572,             0.00056572
                     12,                 3.6496,                 3.4411,                 3.0146,                      0,                      0,                      0,                      0,                 5.1668,                 6.0923,                 4.3559,              0.0005874,              0.0005874,              0.0005874
                     13,                 3.7625,                 3.5077,                 3.0094,                      0,                      0,                      0,                      0,                 5.1697,                 6.0983,                 4.3593,             0.00060394,             0.00060394,             0.00060394
                     14,                 3.5242,                 3.2138,                  2.816,                      0,                      0,                      0,                      0,                  5.174,                 6.0546,                 4.3668,             0.00061535,             0.00061535,             0.00061535
                     15,                 3.4505,                  3.074,                 2.7946,                      0,                      0,                      0,                      0,                 5.1701,                 5.9867,                 4.3721,             0.00059772,             0.00059772,             0.00059772
                     16,                 3.3363,                 3.1238,                 2.7536,                      0,                      0,                      0,                      0,                 5.1492,                 6.0016,                 4.3085,             0.00056105,             0.00056105,             0.00056105
                     17,                 3.1955,                 3.1203,                 2.6567,                      0,                      0,                      0,                      0,                 5.0534,                 5.8911,                 4.1434,             0.00052439,             0.00052439,             0.00052439
                     18,                 3.1985,                 2.7699,                 2.5511,                0.00174,                    0.1,                0.04994,                0.02002,                  4.253,                 4.7994,                 3.6527,             0.00048773,             0.00048773,             0.00048773
                     19,                 3.1725,                 2.7732,                 2.5589,                0.99884,                    0.1,                 0.1493,                0.03646,                 4.0361,                 3.7129,                 3.1708,             0.00045107,             0.00045107,             0.00045107
                     20,                 3.0796,                 2.6122,                 2.5311,                0.99902,                    0.1,                0.16252,                0.04119,                  3.967,                 3.4617,                 2.9587,              0.0004144,              0.0004144,              0.0004144
                     21,                 2.9247,                 2.9607,                 2.5902,                0.36632,                    0.2,                0.19451,                0.05876,                 3.3916,                 3.2176,                 2.6404,             0.00037774,             0.00037774,             0.00037774
                     22,                 2.8308,                 2.7995,                 2.4703,                0.33391,                0.20154,                0.25492,                0.11511,                 2.5493,                 2.5407,                 2.4725,             0.00034108,             0.00034108,             0.00034108
                     23,                 2.7633,                 2.7701,                  2.452,                0.49789,                    0.3,                0.33279,                0.15815,                 2.5762,                 2.2734,                 2.2964,             0.00030441,             0.00030441,             0.00030441
                     24,                 2.6938,                 2.6191,                 2.4179,                0.79813,                    0.3,                0.41106,                0.23969,                 2.4519,                 2.0324,                 2.2127,             0.00026775,             0.00026775,             0.00026775
                     25,                 2.6685,                 2.6177,                 2.4776,                0.89475,                    0.5,                0.55882,                 0.2518,                  2.537,                 2.0016,                 2.2431,             0.00023109,             0.00023109,             0.00023109
                     26,                 2.6622,                 2.5237,                 2.4964,                0.79285,                    0.4,                0.50427,                0.22249,                  2.333,                 1.9134,                 2.2712,             0.00019442,             0.00019442,             0.00019442
                     27,                 2.5907,                 2.4265,                 2.4155,                0.82727,                    0.6,                0.63684,                0.28147,                 2.1692,                 1.7971,                 2.2152,             0.00015776,             0.00015776,             0.00015776
                     28,                 2.4617,                  2.352,                  2.374,                0.89245,                    0.6,                0.63726,                0.29992,                 2.1912,                 1.8784,                  2.194,              0.0001211,              0.0001211,              0.0001211
                     29,                 2.5201,                 2.3337,                 2.3506,                0.89166,                    0.6,                0.73689,                0.33302,                 2.1113,                 1.8451,                 2.1578,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                 2.5434,                  2.468,                  2.346,                0.82768,                    0.6,                0.73701,                0.33699,                 2.0337,                 1.8156,                 2.1261,             4.7773e-05,             4.7773e-05,             4.7773e-05
